IL-6,IL-8,toxic
1.7,2,1
1.4,1.5,1
3.6,13.1,1
2.3,3.6,1
79.5,146.1,1
3.6,9.2,1
4.8,3.8,1
27.9,32.7,1
1.3,1.8,1
7.5,13.2,1
1.6,25.7,1
1.9,22.5,1
12.9,165.2,1
12.4,119,1
3.6,5.7,1
13.6,8.3,1
8.6,23.8,1
0.8,2.7,1
37.6,29.3,1
3.4,67.4,1
1.3,4.9,1
0.7,1,1
1.4,1.8,0
0.8,0.9,0
2.9,2.6,0
16.1,4.3,0
2.6,2.6,0
17.4,20.5,0
0.8,1.5,0
1.8,2,0
1.6,1.2,0
1.3,1.4,0
1.3,1.6,0
1.2,1.4,0
2.7,1.3,0
2.7,2.9,0
1.1,1.4,0
1.2,3.1,0
3.1,24,0
1.2,1.3,0
1,1.6,0
