IL-6,IL-8,toxic
1.6,1.9,1
1.4,2,1
5.3,7.3,1
23.6,35.5,1
80.4,46.4,1
1.4,2.4,1
12,5.4,1
12.1,21.9,1
2.9,2.6,1
11.8,9.7,1
31.4,22.8,1
4,9.6,1
10.8,13.3,1
0.9,9.9,1
2.2,3.4,1
5.8,3.5,1
2.3,2.8,1
0.6,10.1,1
38.1,25,1
1.3,17.8,1
2.3,1.5,1
1.1,2,1
1,0.8,0
6.2,3.6,0
0.8,0.9,0
2.9,1.5,0
9,8.2,0
1.1,1.3,0
0.9,1.2,0
1,1.2,0
1.4,1.3,0
1,1.1,0
2.9,3.2,0
1.2,1.7,0
1,1.2,0
1.4,1.7,0
0.9,1.3,0
0.6,1.3,0
3.4,5.1,0
1.3,1.3,0
128.5,38.2,0
